City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
110,Pasni,25.2631,63.471,80.82,83,60,6.71,broken clouds,PK,2022-08-06 05:12:33
111,Victoria,22.2855,114.1577,88.97,86,75,8.99,light rain,HK,2022-08-06 05:09:13
112,Touros,-5.1989,-35.4608,71.13,91,8,10.16,clear sky,BR,2022-08-06 05:12:35
113,Villaviciosa,43.4813,-5.4357,66.99,87,100,4.27,overcast clouds,ES,2022-08-06 05:12:36
114,Honiara,-9.4333,159.95,83.26,75,96,6.11,overcast clouds,SB,2022-08-06 05:12:38
115,Vung Tau,10.346,107.0843,82.53,72,100,17.29,overcast clouds,VN,2022-08-06 05:12:39
116,Gumdag,39.2061,54.5906,94.08,18,36,16.08,scattered clouds,TM,2022-08-06 05:12:41
117,Tura,25.5198,90.2201,75.83,95,99,4.47,overcast clouds,IN,2022-08-06 05:12:41
118,Tuktoyaktuk,69.4541,-133.0374,62.67,59,89,13.2,overcast clouds,CA,2022-08-06 05:12:42
119,Padang,-0.9492,100.3543,87.85,64,19,5.01,few clouds,ID,2022-08-06 05:12:43
120,Yulara,-25.2406,130.9889,63.86,20,0,5.79,clear sky,AU,2022-08-06 05:12:44
121,Norman Wells,65.282,-126.8329,67.91,56,79,6.53,broken clouds,CA,2022-08-06 05:12:45
122,Mount Isa,-20.7333,139.5,78.57,27,36,12.66,scattered clouds,AU,2022-08-06 05:12:45
123,Lompoc,34.6391,-120.4579,62.78,92,100,5.75,overcast clouds,US,2022-08-06 05:12:46
124,Port Lincoln,-34.7333,135.8667,56.75,63,58,15.61,moderate rain,AU,2022-08-06 05:12:47
125,Vizianagaram,18.1167,83.4167,85.51,75,100,0.47,moderate rain,IN,2022-08-06 05:12:48
126,Mayumba,-3.432,10.6554,67.89,91,22,4.72,few clouds,GA,2022-08-06 05:12:48
127,Hasaki,35.7333,140.8333,82.29,70,100,7.23,overcast clouds,JP,2022-08-06 05:12:49
128,Hilo,19.7297,-155.09,79.29,92,100,5.01,mist,US,2022-08-06 05:10:59
129,Dekar,-21.5333,21.9333,55.9,25,0,6.8,clear sky,BW,2022-08-06 05:12:51
130,Porto Velho,-8.7619,-63.9039,73.45,94,20,4.61,few clouds,BR,2022-08-06 05:12:08
131,Isangel,-19.55,169.2667,78.71,71,17,9.42,few clouds,VU,2022-08-06 05:12:52
132,Kaeo,-35.1,173.7833,60.33,82,72,8.05,broken clouds,NZ,2022-08-06 05:12:53
133,Honningsvag,70.9821,25.9704,53.35,66,2,12.66,clear sky,NO,2022-08-06 05:12:54
134,Hithadhoo,-0.6,73.0833,82.4,72,81,10.49,broken clouds,MV,2022-08-06 05:12:55
135,Anadyr,64.75,177.4833,63.1,51,0,13.42,clear sky,RU,2022-08-06 05:12:56
136,Provideniya,64.3833,-173.3,49.91,65,55,12.01,broken clouds,RU,2022-08-06 05:13:56
137,Star,43.6921,-116.4935,82.63,48,20,9.22,haze,US,2022-08-06 05:13:56
138,Villafranca Di Verona,45.3524,10.8402,79.41,75,0,3.44,clear sky,IT,2022-08-06 05:13:58
139,Chuy,-33.6971,-53.4616,43.79,91,2,3.33,clear sky,UY,2022-08-06 05:13:58
140,Mezen,65.8522,44.24,73.65,61,33,10.67,scattered clouds,RU,2022-08-06 05:13:59
141,Bajil,15.0584,43.2851,88.3,52,93,4.18,overcast clouds,YE,2022-08-06 05:14:00
142,Leshukonskoye,64.8989,45.7622,74.35,60,15,7.87,few clouds,RU,2022-08-06 05:14:00
143,Georgetown,5.4112,100.3354,89.53,58,20,9.22,few clouds,MY,2022-08-06 05:10:27
144,Los Llanos De Aridane,28.6585,-17.9182,69.55,78,100,16.11,overcast clouds,ES,2022-08-06 05:10:49
145,Ponta Do Sol,32.6667,-17.1,71.71,80,15,5.48,few clouds,PT,2022-08-06 05:14:02
146,Hobyo,5.3505,48.5268,78.48,73,32,25.05,scattered clouds,SO,2022-08-06 05:14:02
147,Mikuni,36.2171,136.1519,87.78,64,94,9.89,overcast clouds,JP,2022-08-06 05:14:03
148,Teya,60.3778,92.6267,64.18,48,100,4.85,overcast clouds,RU,2022-08-06 05:14:03
149,Kahului,20.8947,-156.47,82.42,73,20,11.5,few clouds,US,2022-08-06 05:09:31
150,Bengkulu,-3.8004,102.2655,83.39,64,7,5.12,clear sky,ID,2022-08-06 05:14:04
151,Bambous Virieux,-20.3428,57.7575,74.21,62,3,9.78,clear sky,MU,2022-08-06 05:14:04
152,Codrington,-38.2667,141.9667,55.51,74,49,6.82,scattered clouds,AU,2022-08-06 05:14:05
153,Leopold,-38.1833,144.4667,56.82,77,100,8.05,light rain,AU,2022-08-06 05:14:05
154,Vilhena,-12.7406,-60.1458,71.38,52,95,0.69,overcast clouds,BR,2022-08-06 05:14:06
155,Ust-Nera,64.5667,143.2,76.05,49,95,4.97,overcast clouds,RU,2022-08-06 05:14:06
156,Caxito,-8.5785,13.6643,62.24,95,35,1.81,scattered clouds,AO,2022-08-06 05:14:06
157,Sungaipenuh,-2.0833,101.3833,75.49,69,22,3.31,few clouds,ID,2022-08-06 05:14:07
158,Lebu,-37.6167,-73.65,50.23,91,100,2.21,overcast clouds,CL,2022-08-06 05:14:07
159,Itoman,26.1247,127.6694,89.62,74,75,10.36,broken clouds,JP,2022-08-06 05:14:08
160,Sistranda,63.7256,8.834,51.76,84,96,20.98,light rain,NO,2022-08-06 05:14:08
161,Ribeira Grande,38.5167,-28.7,75.27,83,88,11.43,overcast clouds,PT,2022-08-06 05:14:08
162,Thompson,55.7435,-97.8558,46.56,93,100,13.8,overcast clouds,CA,2022-08-06 05:14:09
163,Naze,28.3667,129.4833,88.72,73,86,3.18,light rain,JP,2022-08-06 05:14:09
164,Portland,45.5234,-122.6762,73.33,54,0,9.22,clear sky,US,2022-08-06 05:13:28
165,Barrow,71.2906,-156.7887,39.22,93,100,11.5,overcast clouds,US,2022-08-06 05:14:10
166,Okha,53.5739,142.9478,57.07,82,66,22.95,broken clouds,RU,2022-08-06 05:14:10
167,San Ramon,37.7799,-121.978,66.49,80,0,12.66,clear sky,US,2022-08-06 05:09:49
168,Kropotkin,45.4375,40.5756,78.17,51,29,11.81,scattered clouds,RU,2022-08-06 05:14:12
169,Lodingen,68.414,15.9951,53.74,69,97,2.82,light rain,NO,2022-08-06 05:14:13
170,Teno,-34.8667,-71.1833,47.75,87,100,0.0,light rain,CL,2022-08-06 05:14:14
171,Omboue,-1.5746,9.2618,70.34,86,81,7.52,broken clouds,GA,2022-08-06 05:14:14
172,Sitka,57.0531,-135.33,60.69,82,100,3.44,light rain,US,2022-08-06 05:14:15
173,Hailey,43.5196,-114.3153,66.88,74,75,5.75,broken clouds,US,2022-08-06 05:14:16
